time ms,FSR force,trigger to gripper cmd,Max Int val,Trigger raw Value,UP Button,DOWN Button,Gripper Position,Gripper Velocity,Robot In Initial Pos,User ID: 14,OFF,trial num: 10
67,0,19,40,0,False,False,18.9984264373779,5.87747175411144E-39,,,,
112,0,19,40,0,False,False,18.9984264373779,5.87747175411144E-39,,,,
161,0,19,40,0,False,False,18.9984264373779,5.87747175411144E-39,,,,
206,0,19,40,0,False,False,18.9983062744141,5.87747175411144E-39,,,,
256,0,19,40,0,False,False,18.9983062744141,5.87747175411144E-39,,,,
301,0,19,40,0,False,False,19.000129699707,5.87747175411144E-39,,,,
350,0,19,40,0,False,False,19.000129699707,5.87747175411144E-39,,,,
399,0,19,40,0,False,False,18.9975452423096,5.87747175411144E-39,,,,
444,0,19,40,0,False,False,18.9975452423096,5.87747175411144E-39,,,,
493,0,19,40,0,False,False,18.9987335205078,5.87747175411144E-39,,,,
538,0,19,40,0,False,False,18.9987335205078,5.87747175411144E-39,,,,
587,0,19,40,0,False,False,18.9980640411377,5.87747175411144E-39,,,,
632,0,19,40,0,False,False,18.9980640411377,5.87747175411144E-39,,,,
681,0,19,40,0,False,False,18.9990577697754,5.87747175411144E-39,,,,
731,0,19,40,0,False,False,18.9990577697754,5.87747175411144E-39,,,,
776,0,19,40,0,False,False,18.9986591339111,5.87747175411144E-39,,,,
825,0,19,40,0,False,False,18.9986591339111,5.87747175411144E-39,,,,
879,0,19,40,0,False,False,18.9992504119873,5.87747175411144E-39,,,,
919,0,19,40,0,False,False,18.9992504119873,5.87747175411144E-39,,,,
968,0,19,40,0,False,False,18.9992504119873,5.87747175411144E-39,,,,
1013,0,19,40,0,False,False,18.9980163574219,5.87747175411144E-39,,,,
1062,0,19,40,0,False,False,18.9980163574219,5.87747175411144E-39,,,,
1107,1,19,40,0,False,False,18.9985866546631,5.87747175411144E-39,,,,
1157,1,19,40,0,False,False,18.9985866546631,5.87747175411144E-39,,,,
1202,0,19,40,0,False,False,18.9980964660645,5.87747175411144E-39,,,,
1251,0,19,40,0,False,False,18.9980964660645,5.87747175411144E-39,,,,
1300,0,19,40,0,False,False,18.998025894165,5.87747175411144E-39,,,,
1345,0,19,40,0,False,False,18.998025894165,5.87747175411144E-39,,,,
1394,0,19,40,0,False,False,18.9975452423096,5.87747175411144E-39,,,,
1439,0,18.7882347106934,40,3,False,False,18.9975452423096,5.87747175411144E-39,,,,
1488,0,18.1529407501221,40,12,False,False,18.9985256195068,5.87747175411144E-39,,,,
1534,0,17.9411773681641,40,15,False,False,18.9985256195068,5.87747175411144E-39,,,,
1582,0,17.7294120788574,40,18,False,False,18.9976444244385,5.87747175411144E-39,,,,
1632,0,17.5176467895508,40,21,False,False,18.9976444244385,5.87747175411144E-39,,,,
1677,0,17.5176467895508,40,21,False,False,18.9989166259766,5.87747175411144E-39,,,,
1726,0,17.4470596313477,40,22,False,False,18.9989166259766,5.87747175411144E-39,,,,
1771,0,17.3764705657959,40,23,False,False,18.9989166259766,5.87747175411144E-39,,,,
1820,0,17.3764705657959,40,23,False,False,18.8029727935791,-6.32538652420044,,,,
1869,0,17.3764705657959,40,23,False,False,18.8029727935791,-6.32538652420044,,,,
1914,0,17.235294342041,40,25,False,False,18.2130012512207,-6.51902770996094,,,,
1964,0,17.0941181182861,40,27,False,False,18.2130012512207,-6.51902770996094,,,,
2009,0,16.9529418945313,40,29,False,False,17.5294990539551,-6.4422869682312,,,,
2058,0,16.9529418945313,40,29,False,False,17.5294990539551,-6.4422869682312,,,,
2103,0,16.4588241577148,40,36,False,False,17.5170021057129,5.87747175411144E-39,,,,
2152,0,16.2470588684082,40,39,False,False,17.5170021057129,5.87747175411144E-39,,,,
2201,0,16.1058826446533,40,41,False,False,17.2495822906494,-4.00135946273804,,,,
2246,0,15.9647054672241,40,43,False,False,17.2495822906494,-4.00135946273804,,,,
2295,0,15.8941173553467,40,44,False,False,16.9602127075195,-5.36443090438843,,,,
2340,0,15.2588233947754,40,53,False,False,16.9602127075195,-5.36443090438843,,,,
2390,0,14.9764709472656,40,57,False,False,16.6984329223633,-6.46699237823486,,,,
2435,0,14.9058818817139,40,58,False,False,16.6984329223633,-6.46699237823486,,,,
2484,0,14.9058818817139,40,58,False,False,16.2538967132568,-5.32207822799683,,,,
2533,0,14.9058818817139,40,58,False,False,16.2538967132568,-5.32207822799683,,,,
2578,0,15.0470590591431,40,56,False,False,16.2538967132568,-5.32207822799683,,,,
2627,0,14.9764709472656,40,57,False,False,15.9132556915283,-2.95455312728882,,,,
2672,0,14.8352937698364,40,59,False,False,15.9132556915283,-2.95455312728882,,,,
2721,0,14.9058818817139,40,58,False,False,15.6065559387207,-8.26713943481445,,,,
2766,0,15.6117649078369,40,48,False,False,15.6065559387207,-8.26713943481445,,,,
2815,0,15.2588233947754,40,53,False,False,15.0051860809326,-5.9975323677063,,,,
2865,0,15.2588233947754,40,53,False,False,15.0051860809326,-5.9975323677063,,,,
2910,0,15.1882352828979,40,54,False,False,15.0371284484863,5.87747175411144E-39,,,,
2959,0,15.5411767959595,40,49,False,False,15.0371284484863,5.87747175411144E-39,,,,
3004,0,16.1058826446533,40,41,False,False,14.9167165756226,5.87747175411144E-39,,,,
3053,0,17.3764705657959,40,23,False,False,14.9167165756226,5.87747175411144E-39,,,,
3098,0,17.6588230133057,40,19,False,False,15.2478809356689,3.87783050537109,,,,
3147,0,17.7294120788574,40,18,False,False,15.2478809356689,3.87783050537109,,,,
3196,0,17.8705883026123,40,16,False,False,15.1935119628906,5.87747175411144E-39,,,,
