time ms,FSR force,trigger to gripper cmd,Max Int val,Trigger raw Value,UP Button,DOWN Button,Gripper Position,Gripper Velocity,Robot In Initial Pos,User ID: 10,ON,trial num: 9
100,0,17.5882358551025,20,20,False,False,18.999210357666,5.87747175411144E-39,,,,
149,0,17.5882358551025,20,20,False,False,18.999210357666,5.87747175411144E-39,,,,
194,0,17.5176467895508,20,21,False,False,18.999210357666,5.87747175411144E-39,,,,
243,0,17.4470596313477,20,22,False,False,18.999210357666,5.87747175411144E-39,,,,
288,0,17.3764705657959,20,23,False,False,18.999210357666,5.87747175411144E-39,,,,
337,0,17.235294342041,20,25,False,False,18.998140335083,5.87747175411144E-39,,,,
382,0,17.1647052764893,20,26,False,False,18.998140335083,5.87747175411144E-39,,,,
432,0,16.31764793396,20,38,False,False,18.3335647583008,-0.912020921707153,,,,
480,4,13.423529624939,20,79,False,False,18.3335647583008,-0.912020921707153,,,,
526,0,10.6000003814697,20,119,False,False,17.5298500061035,5.87747175411144E-39,,,,
575,0,9.7529411315918,20,131,False,False,17.5298500061035,5.87747175411144E-39,,,,
620,0,9.61176490783691,20,133,False,False,17.2474422454834,5.87747175411144E-39,,,,
669,0,9.54117679595947,20,134,False,False,17.2474422454834,5.87747175411144E-39,,,,
714,0,9.47058868408203,20,135,False,False,17.250732421875,5.87747175411144E-39,,,,
763,0,9.25882339477539,20,138,False,False,17.250732421875,5.87747175411144E-39,,,,
813,0,8.90588188171387,20,143,False,False,16.647912979126,5.87747175411144E-39,,,,
858,0,8.76470565795898,20,145,False,False,16.647912979126,5.87747175411144E-39,,,,
907,0,8.48235321044922,20,149,False,False,15.9989156723022,5.87747175411144E-39,,,,
960,0,7.84705877304077,20,158,False,False,15.9989156723022,5.87747175411144E-39,,,,
1001,11,7,20,170,False,False,15.3653717041016,5.87747175411144E-39,,,,
1050,0,6.92941188812256,20,171,False,False,15.3653717041016,5.87747175411144E-39,,,,
1095,0,6.85882329940796,20,172,False,False,15.3653717041016,5.87747175411144E-39,,,,
1144,0,6.78823518753052,20,173,False,False,14.7308053970337,5.87747175411144E-39,,,,
1189,0,6.36470603942871,20,179,False,False,14.7308053970337,5.87747175411144E-39,,,,
1238,0,4.52941179275513,20,205,False,False,14.0715255737305,5.87747175411144E-39,,,,
1283,0,3.96470594406128,20,213,False,False,14.0715255737305,5.87747175411144E-39,,,,
1333,0,3.89411759376526,20,214,False,False,13.4223690032959,-0.913881003856659,,,,
1382,0,3.82352948188782,20,215,False,False,13.4223690032959,-0.913881003856659,,,,
1427,501,2.97647047042847,20,227,False,False,12.7769947052002,-2.88029217720032,,,,
1476,644,2.76470589637756,20,230,False,False,12.7769947052002,-2.88029217720032,,,,
1521,844,2.6235294342041,20,232,False,False,12.1413602828979,5.87747175411144E-39,,,,
1570,904,2.55294108390808,20,233,False,False,12.1413602828979,5.87747175411144E-39,,,,
1619,823,2.48235297203064,20,234,False,False,11.479772567749,-1.613898396492,,,,
1664,858,2.34117650985718,20,236,False,False,11.479772567749,-1.613898396492,,,,
1713,850,2.27058815956116,20,237,False,False,10.8106069564819,-3.71395039558411,,,,
1759,823,1.63529407978058,20,246,False,False,10.8106069564819,-3.71395039558411,,,,
1808,730,1.49411761760712,20,248,False,False,10.1479759216309,-3.08332920074463,,,,
1857,738,1.07058823108673,20,254,False,False,10.1479759216309,-3.08332920074463,,,,
1902,753,1,20,255,False,False,9.50549030303955,-4.31538248062134,,,,
1951,774,1,20,255,False,False,9.50549030303955,-4.31538248062134,,,,
2000,231,1,20,255,False,False,9.50549030303955,-4.31538248062134,,,,
2045,24,1,20,255,False,False,8.85041999816895,-5.99061679840088,,,,
2094,0,1,20,255,False,False,8.85041999816895,-5.99061679840088,,,,
2139,0,1,20,255,False,False,8.20796680450439,-5.28487586975098,,,,
2189,0,1,20,255,True,False,8.20796680450439,-5.28487586975098,,,,
2233,0,1,20,255,True,False,7.51715278625488,-5.07959699630737,,,,
2283,0,1,20,255,True,False,7.51715278625488,-5.07959699630737,,,,
2332,0,1,20,255,True,False,6.86335802078247,-3.76579451560974,,,,
2377,0,1,20,255,True,False,6.86335802078247,-3.76579451560974,,,,
2426,0,1,20,255,True,False,6.20770454406738,-5.3670539855957,,,,
2471,0,1,20,255,True,False,6.20770454406738,-5.3670539855957,,,,
2520,0,1,20,255,True,False,5.56109142303467,-6.13403511047363,,,,
2566,0,1,20,255,True,False,5.56109142303467,-6.13403511047363,,,,
2614,0,1,20,255,True,False,4.88311290740967,-6.58608675003052,,,,
2664,0,1,20,255,True,False,4.88311290740967,-6.58608675003052,,,,
2709,0,1,20,255,True,False,4.22380256652832,-6.18630886077881,,,,
2758,0,1,20,255,True,False,4.22380256652832,-6.18630886077881,,,,
2803,28,1,20,255,True,False,4.22380256652832,-6.18630886077881,,,,
2852,0,1,20,255,True,False,3.55866026878357,-6.98991918563843,,,,
2897,0,1,20,255,True,False,3.55866026878357,-6.98991918563843,,,,
2948,0,1,20,255,True,False,2.89824891090393,-7.54632759094238,,,,
2995,3,1,20,255,True,False,2.89824891090393,-7.54632759094238,,,,
3041,0,1,20,255,True,False,2.25622892379761,-7.4639105796814,,,,
3090,6,1,20,255,True,False,2.25622892379761,-7.4639105796814,,,,
3135,3,1,20,255,True,False,1.58906054496765,-9.25175189971924,,,,
3184,0,1,20,255,True,False,1.58906054496765,-9.25175189971924,,,,
3229,0,1,20,255,True,False,1.01793837547302,-4.25209140777588,,,,
3278,0,1,20,255,True,False,1.01793837547302,-4.25209140777588,,,,
3327,15,1,20,255,True,False,1.00630795955658,5.87747175411144E-39,,,,
3372,0,1,20,255,True,False,1.00630795955658,5.87747175411144E-39,,,,
3421,0,1,20,255,True,False,1.00590538978577,5.87747175411144E-39,,,,
3476,0,1,20,255,True,False,1.00590538978577,5.87747175411144E-39,,,,
