time,FSR force,trigger_t_gripper,Max Int val,Trigger raw Value,UP Button,DOWN Button,Gripper Position,Gripper Velocity,Robot Initial Pos
1669981863.222537,0,12.082352638244629,33,98,True,False,0.4626132857185406,0.0,False
1669981863.271758,0,12.082352638244629,33,98,True,False,0.4626132857185406,0.0,False
1669981863.316653,0,12.082352638244629,33,98,True,False,0.4626132857185406,0.0,False
1669981863.365953,0,12.082352638244629,33,98,False,False,12.161116600036621,5.877471754111438e-39,False
1669981863.414948,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981863.459981,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981863.509168,0,12.082352638244629,34,98,False,False,0.4626132857185406,0.0,False
1669981863.554487,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981863.603378,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981863.648405,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981863.697931,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981863.746911,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981863.791848,0,12.082352638244629,34,98,False,False,0.4626132857185406,0.0,False
1669981863.841022,0,12.082352638244629,34,98,False,False,0.4626132857185406,0.0,False
1669981863.886067,0,12.082352638244629,34,98,False,False,0.4626132857185406,0.0,False
1669981863.935161,0,12.082352638244629,34,98,False,False,0.4626132857185406,0.0,False
1669981863.980263,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981864.029519,0,12.082352638244629,34,98,False,False,0.4626132857185406,0.0,False
1669981864.078567,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981864.123691,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981864.172569,0,12.082352638244629,33,98,False,False,12.091032028198242,5.877471754111438e-39,False
1669981864.217881,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981864.26691,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981864.311967,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981864.361207,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981864.410423,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981864.455342,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981864.504579,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981864.549659,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981864.598677,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981864.643898,0,12.082352638244629,34,98,False,False,0.4626132857185406,0.0,False
1669981864.692941,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981864.741826,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981864.787139,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981864.836302,0,12.082352638244629,34,98,False,False,0.4626195558650111,0.0,False
1669981864.890801,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981864.930461,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981864.975545,0,12.082352638244629,33,98,False,False,12.08877182006836,5.877471754111438e-39,False
1669981865.02465,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981865.073708,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981865.118951,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981865.167985,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981865.21297,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981865.262077,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981865.311331,0,12.082352638244629,33,98,False,False,0.4626132857185406,0.0,False
1669981865.35643,0,12.082352638244629,34,98,False,False,0.4626195558650111,0.0,False
1669981865.405434,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981865.450752,0,12.082352638244629,34,98,False,False,0.4626195558650111,0.0,False
1669981865.499947,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981865.544903,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981865.594042,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981865.643111,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981865.688293,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981865.737225,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981865.78248,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981865.831559,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981865.876723,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981865.925862,0,12.082352638244629,34,98,False,False,0.4626195558650111,0.0,False
1669981865.974775,0,12.082352638244629,34,98,False,False,0.4626195558650111,0.0,False
1669981866.019906,0,12.082352638244629,34,98,False,False,0.4626132857185406,0.0,False
1669981866.068947,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981866.114137,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981866.163301,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981866.208266,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
1669981866.257495,0,12.082352638244629,33,98,False,False,0.4626195558650111,0.0,False
